Standard Number,Description,Found Title,Link,Download Link,Replacement Title,Replacement Download,Abstract,Is Sponsored
"NZS 4223.1:2008","Code of practice for glazing in buildings – Glass selection and glazing","NZS 4223.1:2008 Current","https://www.standards.govt.nz/shop/NZS-4223-12008","https://www.standards.govt.nz/product-download/download/447037/0?mediaTypeId=26b1f327-7bc2-4c8f-aab8-7f9343b4164a&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides general guidance for designers and specifiers for glass selection and glazing in buildings.","true"
"NZS 4223.2:2016","Glazing in buildings – Part 2: Insulating glass units","NZS 4223.2:2016 Current","https://www.standards.govt.nz/shop/NZS-4223-22016","https://www.standards.govt.nz/product-download/download/447043/0?mediaTypeId=5fbfda3b-3218-4e6c-8b09-77479c3d5227&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides a means of compliance with the relevant performance requirements of Building Code Clauses B1, B2, F2, F4 and H1 in order to minimise the potential for strength and durability failures of insulating glass units in buildings.","true"
"NZS 4223.3:2016","Glazing in buildings – Part 3: Human impact safety requirements","NZS 4223.3:2016 excluding Amendment 1 Current","https://www.standards.govt.nz/shop/NZS-4223-32016-EXCLUDING-AMENDMENT-1","https://www.standards.govt.nz/product-download/download/473632/0?mediaTypeId=1eceffd4-6c79-eb11-a812-000d3a6aefc3&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides a means of compliance with the relevant performance requirements of Building Code Clauses B1, F2 and F4 in order to minimise the potential for injury to building users from glazing in buildings. Correction Amendment 1:2016 is incorporated into this standard and is not available separately. Designers, window manufacturers and glaziers will make good use of this standard. When read along with B1/AS1, this standard covers where and what type of safety glass and other measures are needed in situations where people could impact or fall through glass in buildings.","true"
"NZS 4223.4:2008","Glazing in buildings – Part 4: Wind, dead, snow, and live actions","NZS 4223.4:2008 Current","https://www.standards.govt.nz/shop/NZS-4223-42008","https://www.standards.govt.nz/product-download/download/447064/0?mediaTypeId=3da56ced-c101-4517-a38c-47aaae68616c&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides a methodology for determining the minimum glass thickness for vertical and sloped overhead glazing to resist limit state actions.","true"
"NZS 4229:2013","Concrete masonry buildings not requiring specific engineering design","NZS 4229:2013 Current","https://www.standards.govt.nz/shop/NZS-42292013","https://www.standards.govt.nz/product-download/download/463213/0?mediaTypeId=1417524a-746b-41ea-b2ad-98745e3fb10f&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","NZS 4229 provides methods for the design and construction of reinforced concrete masonry houses and small buildings with one, two or certain configurations of three storeys. Designers, architects, and block layers will find it useful. It provides a way of complying with the New Zealand Building Code requirements for the structure of these buildings including their foundations, wall layout, lintels, bracing systems, and reinforcement bars when read along with Acceptable Solution B1/AS1.","true"
"NZS 4230:2004","Design of reinforced concrete masonry structures","NZS 4230:2004 Current","https://www.standards.govt.nz/shop/NZS-42302004","https://www.standards.govt.nz/product-download/download/463240/0?mediaTypeId=b172e0d3-48e9-4153-a346-6bfec047f4ae&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides up to date information for the design of reinforced concrete masonry structures. This revision recognizes the predominant use of reinforced concrete masonry for structural applications in NZ, and incorporates research findings specifically pertaining to the performance of reinforced and prestressed concrete masonry.","true"
"NZS 4232.2:1988","Performance criteria for fire resisting enclosures – Part 2: Fire resisting glazing systems","NZS 4232.2:1988 (Excludes Amdt 1) Current","https://www.standards.govt.nz/shop/NZS-4232-21988-EXCLUDES-AMDT-1","https://www.standards.govt.nz/product-download/download/473626/0?mediaTypeId=cc3c0791-6579-eb11-a812-000d3a6aefc3&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies the range of performance requirements which are to be provided when the term fire window is used. Provides a means of compliance with the requirements for the design, manufacture and installation for all fire windows.","true"
"SNZ HB 4236:2002","Masonry veneer wall cladding","SNZ HB 4236:2002 Current","https://www.standards.govt.nz/shop/SNZ-HB-42362002","https://www.standards.govt.nz/product-download/download/463321/0?mediaTypeId=750d6952-0e99-4d8f-a60a-225dc8a70bfc&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This Standards New Zealand Handbook sets out guidelines and requirements for masonry veneer exterior cladding in New Zealand.","true"
"NZS 4243.1:2007","Energy efficiency – Large buildings – Building thermal envelope","NZS 4243.1:2007 Current","https://www.standards.govt.nz/shop/NZS-4243-12007","https://www.standards.govt.nz/product-download/download/463369/0?mediaTypeId=42f6afd6-f7e3-4181-a304-9fd402c37287&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies performance requirements for large buildings to achieve an adequate level of energy efficiency in respect of their building envelope. The requirements for lighting have been updated and placed in a separate Standard (NZS 4243 Part 2).","true"
"NZS 4243.2:2007","Energy efficiency – Large buildings – Part 2: Lighting","NZS 4243.2:2007 Current","https://www.standards.govt.nz/shop/NZS-4243-22007","https://www.standards.govt.nz/product-download/download/463372/0?mediaTypeId=22ca3f48-0c8f-449e-80ea-d394f3e47832&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies performance requirements for large buildings to achieve an adequate level of energy efficiency in respect of lighting.","true"
"NZS 4246:2016","Energy efficiency – Installing bulk thermal insulation in residential buildings","NZS 4246:2016 Current","https://www.standards.govt.nz/shop/NZS-42462016","https://www.standards.govt.nz/product-download/download/463399/0?mediaTypeId=757919fd-f28d-449b-bf73-0334e36d1dae&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides guidance for the correct installation of insulation products by installers and consumers to achieve the intended thermal performance in buildings without compromising the durability and safety of insulation or building elements and the health and safety of installers and building occupants. The guidance is based on residential-type construction, but the methods may be appropriate to other construction types. The standard covers installing insulation in new buildings during construction as well as retrofitting of insulation in existing buildings. This edition of the standard has been extended to provide guidance on installing insulation in steel-framed constructions, for concrete slabs on ground and to update content for installing insulation around luminaires, where there have been significant technology advances since the standard was last revised in 2006. Additional diagrams, photos and figures have been included for illustrative purposes and Appendix B has been rewritten to align with the Health and Safety at Work Act 2015.","true"
"NZS 4251.1:2007","Solid plastering – Cement plasters for walls, ceilings and soffits","NZS 4251.1:2007 Current","https://www.standards.govt.nz/shop/NZS-4251-12007","https://www.standards.govt.nz/product-download/download/463426/0?mediaTypeId=43b4d332-b450-4ea9-b009-e6944277b2c5&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out the requirements for solid plaster, and stucco over a drained and vented cavity with a rigid or non-rigid backing in buildings, to achieve structurally sound, hard, durable and water resistant surfaces. This revision has introduced the requirement of cavity behind the plaster and applies to exterior and interior walls where impact loads are limited to soft body impacts associated with domestic use.","true"
"NZS 4297:2024","Engineering design of earth buildings","NZS 4297:2024 Current","https://www.standards.govt.nz/shop/NZS-42972024","https://www.standards.govt.nz/product-download/download/524449/0?mediaTypeId=43519bcb-55b7-ef11-b8e8-000d3acaa2ce&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Is intended mainly for use by professional structural engineers. It provides designers and engineers with a cost-effective means of assessing the design of structures that incorporate unfired earthen materials. NZS 4297:2024 should be read alongside NZS 4298:2024 and NZS 4299:2024 for practical guidance on materials, testing of those materials, and how to use those materials when constructing earth buildings.","true"
"NZS 4298:2024","Materials and construction for earth buildings","NZS 4298:2024 Current","https://www.standards.govt.nz/shop/NZS-42982024","https://www.standards.govt.nz/product-download/download/524450/0?mediaTypeId=747b7aa2-29b8-ef11-b8e8-7c1e522a937d&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets minimum standards for earth materials. When applied by designers, building consent officers, and builders, NZS 4298:2024 provides these users with a cost-effective means of compliance, and practical guidance on earth materials, their testing, and how to use them when constructing earth buildings. NZS 4298:2024 should be read and applied alongside NZS 4297:2024 and 4299:2024, which provide design details and other criteria for building successful earth buildings.","true"
"NZS 4299:2024","Earth buildings not requiring specific design","NZS 4299:2024 Current","https://www.standards.govt.nz/shop/NZS-42992024","https://www.standards.govt.nz/product-download/download/524451/0?mediaTypeId=db2dd568-ccfa-ee11-9f89-000d3ad11c4b&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets a minimum standard for the design and construction of earth buildings. When applied by designers, building consent authorities, and builders, NZS 4299:2024 provides these users with cost-effective and practical specifications and guidance information for designing and constructing earth buildings, without the need for specific engineering design. NZS 4299:2024 provides prescribed methods for the design and construction of reinforced earth walled buildings including domestic dwellings and other residential buildings, and some commercial buildings","true"
"NZS 4303:1990","Ventilation for acceptable indoor air quality","NZS 4303:1990 Current","https://www.standards.govt.nz/shop/NZS-43031990","https://www.standards.govt.nz/product-download/download/464152/0?mediaTypeId=81d7538b-e5c3-4a73-b62a-a4ee94712445&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies minimum ventilation rates and indoor air quality that will be acceptable to human occupants and intended to avoid adverse health effects. Applies to all indoor or enclosed spaces that people may occupy, except where other applicable Standards and requirements dictate larger amounts of ventilation than this Standard. Release of moisture in residential kitchens, bathrooms, locker rooms, and swimming pools is included in the scope of this Standard. Based on but not equivalent to ASHRAE 62:1989.","true"
"NZS 4304:2002","Management of Healthcare Waste","NZS 4304:2002 Current","https://www.standards.govt.nz/shop/NZS-43042002","https://www.standards.govt.nz/product-download/download/464158/0?mediaTypeId=60de74a2-73c1-4a7f-bc47-1f570e73c487&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides guidelines for the disposal of human and animal healthcare waste, including generators, waste transporters and waste disposal facilities. It outlines procedures for the classification, segregation, packaging/containment, labelling, storage, transport and disposal of healthcare waste.","true"
"NZS 4305:1996","Energy efficiency – Domestic type hot water systems","NZS 4305:1996 Current","https://www.standards.govt.nz/shop/NZS-43051996","https://www.standards.govt.nz/product-download/download/464161/0?mediaTypeId=e891d743-c0b9-4a09-b026-21409466bb03&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out minimum energy efficiency requirements in terms of heat losses from domestic type hot water systems. It applies to all domestic type hot water systems irrespective of the energy source, and covers systems that may be found in residential, industrial and commercial buildings, but excludes systems used exclusively for space heating, cooling or for processes. The requirements are based on a practical and economic analysis of insulation costs and energy savings.","true"
"NZS 4332:1997","Non-domestic passenger and goods lifts","NZS 4332:1997 Current","https://www.standards.govt.nz/shop/NZS-43321997","https://www.standards.govt.nz/product-download/download/464227/0?mediaTypeId=cc284975-d1f4-482f-8afc-124a59d7c681&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies requirements for the design, construction, operation and testing of passenger carrying lifts including goods lifts with car controls and not including lifts in single unit dwellings. It applies to new building work being either the installation of a new lift or new work associated with an existing installation.","true"
"NZS 4334:2012","Platform lifts and low-speed lifts","NZS 4334:2012 Current","https://www.standards.govt.nz/shop/NZS-43342012","https://www.standards.govt.nz/product-download/download/464239/0?mediaTypeId=690e88ef-8754-42f3-ac11-7abdc253163e&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides the specifications to build and maintain New Zealand Building Code compliant platform and low-speed lifts for both domestic and some public settings that are safe, fit for purpose and useable by all people. This Standard applies to domestic buildings and to public buildings up to a few storeys high only.","true"
"NZS 4402.2.2:1986","Methods of testing soils for civil engineering purposes – Soil classification tests – Test 2.2 Determination of the liquid limit","NZS 4402.2.2:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-2-21986","https://www.standards.govt.nz/product-download/download/464716/0?mediaTypeId=96796de1-c8e0-48e4-8ab8-6a171f82c5b1&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the determination of the liquid limit of a soil which has not been dried below natural water content. The method may also be used on previously dried soils. To be read in conjunction with Part 1.","true"
"NZS 4402.2.4:1986","Methods of testing soils for civil engineering purposes – Soil classification tests – Test 2.4 Determination of the plasticity index","NZS 4402.2.4:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-2-41986","https://www.standards.govt.nz/product-download/download/464722/0?mediaTypeId=0ecdf28c-3e93-4232-9672-37f213e001e0&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the determination of the plasticity index of a soil. To be read in conjunction with Part 1.","true"
"NZS 4402.2.8.1:1986","Methods of testing soils for civil engineering purposes – Soil classification tests – Test 2.8.1 Standard method by wet sieving","NZS 4402.2.8.1:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-2-8-11986","https://www.standards.govt.nz/product-download/download/464737/0?mediaTypeId=efceb9ce-4600-4787-b018-1a167a6ba5cd&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the quantitative determination of the particle size distribution in a soil down to the fine s and size by wet sieving. To be read in conjunction with Part 1.","true"
"NZS 4402.2.8.2:1986","Methods of testing soils for civil engineering purposes – Soil classification tests – Test 2.8.2 Subsidiary method by dry sieving","NZS 4402.2.8.2:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-2-8-21986","https://www.standards.govt.nz/product-download/download/464740/0?mediaTypeId=4ae1971a-0c9d-4cec-9803-ffa9b8ce1314&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the quantitative determination of the particle-size distribution in a soil down to the fine s and size by dry sieving. The method should not be used unless it has been shown that for the type of material under test it gives the same results as the method of analysis by wet sieving. In case of doubt, Test 2.8.1 should be used. To be read in conjunction with Part 1.","true"
"NZS 4402.2.8.3:1986","Methods of testing soils for civil engineering purposes – Soil classification tests – Test 2.8.3 Standard method for fine soils (pipette method)","NZS 4402.2.8.3:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-2-8-31986","https://www.standards.govt.nz/product-download/download/464743/0?mediaTypeId=1f9cb369-d418-43c3-b0d0-7750510873a6&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the quantitative determination of the particle-size distribution in a soil from the coarse sand size down. This test is not normally carried out if less than 10 percent of the material passes the 63 micron test sieve, as measured in Test 2.8.1. To be read in conjunction with Part 1.","true"
"NZS 4402.2.8.4:1986","Methods of testing soils for civil engineering purposes – Soil classification tests – Test 2.8.4 Subsidiary method for fine soils (hydrometer method)","NZS 4402.2.8.4:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-2-8-41986","https://www.standards.govt.nz/product-download/download/464746/0?mediaTypeId=d93d00ec-cf25-4ca4-a9fb-b93984359e02&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the quantitative determination of the particle-size distribution in a soil from the coarse sand size down. This test is not normally carried out if less than 10 percent of the material passes the 63 micron test sieve as measured in Test 2.8.1. To be read in conjunction with Part 1.","true"
"NZS 4402.4.1.1:1986","Methods of testing soils for civil engineering purposes – Soil compaction tests – Determination of the dry density/water content relationship – Test 4.1.1 New Zealand standard compaction test","NZS 4402.4.1.1:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-4-1-11986","https://www.standards.govt.nz/product-download/download/464767/0?mediaTypeId=b02b8452-c5c6-4a15-851c-669c45437350&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the determination of the dry density when the soil passing a 19.0 mm test sieve is compacted in a specified manner, over a range of water contents, including that which gives the maximum dry density. To be read in conjunction with Part 1.","true"
"NZS 4402.4.2.1:1988","Methods of testing soils for civil engineering purposes – Soil compaction tests – Determination of the minimum and maximum dry densities and relative density of a cohesionless soil – Test 4.2.1 Minimum dry density","NZS 4402.4.2.1:1988 Current","https://www.standards.govt.nz/shop/NZS-4402-4-2-11988","https://www.standards.govt.nz/product-download/download/464776/0?mediaTypeId=3962cffc-06d2-4aff-b33f-e80cb99f55b2&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides a standard technique for the laboratory determination of the minimum dry density of a cohesionless soil.","true"
"NZS 4402.4.2.2:1988","Methods of testing soils for civil engineering purposes – Soil compaction tests – Determination of the minimum and maximum dry densities and relative density of a cohesionless soil – Test 4.2.2 Maximum dry density","NZS 4402.4.2.2:1988 Current","https://www.standards.govt.nz/shop/NZS-4402-4-2-21988","https://www.standards.govt.nz/product-download/download/464779/0?mediaTypeId=107a4b77-f774-49c9-9a83-d37730cc6dfa&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides a standard technique for the laboratory determination of the maximum dry density of a cohesionless soil by vibratory compaction of a fully saturated sample.","true"
"NZS 4402.4.2.3:1988","Methods of testing soils for civil engineering purposes – Soil compaction tests – Determination of the minimum and maximum dry densities and relative density of a cohesionless soil – Test 4.2.3 Relative density","NZS 4402.4.2.3:1988 Current","https://www.standards.govt.nz/shop/NZS-4402-4-2-31988","https://www.standards.govt.nz/product-download/download/464782/0?mediaTypeId=45202a56-fd31-4a85-b73e-eaa4faf02a10&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Determines the relative density of a soil with respect to the loosest and densest states at which it can be placed by the laboratory techniques specified.","true"
"NZS 4402.5.1.1:1986","Methods of testing soils for civil engineering purposes – Soil density tests – Determination of the density of soil – Test 5.1.1 Sand replacement method for the determination of in situ density","NZS 4402.5.1.1:1986 Current","https://www.standards.govt.nz/shop/NZS-4402-5-1-11986","https://www.standards.govt.nz/product-download/download/464785/0?mediaTypeId=bef6d0a5-9c54-493c-9d02-dc4494414601&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Covers the determination in situ of the density of undisturbed or compacted soils. To be read in conjunction with Part 1.","true"
"NZS 4431:1989","Code of practice for earth fill for residential development","NZS 4431:2022 Current","https://www.standards.govt.nz/shop/NZS-44312022","https://www.standards.govt.nz/product-download/download/501098/0?mediaTypeId=843d09ed-afdb-ec11-bb3c-00224893f31d&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","NZS 4431 provides the process for the geotechnical investigation, design, construction, quality assurance testing, and certification of engineered fill as foundation support for lightweight residential and commercial buildings and associated infrastructure. Evidence of adherence to this standard, alongside appropriate professional review and certification, can be used to demonstrate compliance with the relevant sections of the New Zealand Building Code for these projects. This revision reflects changes in geotechnical investigation, design and construction practice, test methods. And environmental, consenting, and health and safety obligations since the original publication in 1989. The layout of this revision reflects the iterative processes used by the geotechnical designer, certifier, and contractor to enable engineered fill construction to deliver safe and stable foundation support for lightweight residential and commercial buildings and associated infrastructure. NZS4431 is not a specification. An earthworks specification needs to be developed for each development in accordance with the requirements of this standard. The earthworks specification will provide the site and contract-specific requirements in addition to those presented in this standard. To comply with this standard, certified engineered fill construction shall meet the requirements of the project - and site-specific earthworks specification, as well as the design documentation, engineering drawings, quality assurance and testing requirements, and building and consent conditions. The New Zealand earthworks specification (NZGS, 2022) is an example of a generic specification developed to be compatible with this standard. It is appropriate for use on most residential (and many other) development projects with common soil and rock types found in New Zealand and comes in both a long and a short form to suit larger and smaller projects respectively. Because of the variability of the natural materials used in earthworks, specialist geotechnical input is needed to ensure that the specified soil and rock materials are suitable for the intended use and that the proposed testing regime is appropriate for the selected materials. The primary intended users of this standard are the geotechnical designer and the certifier. In the context of this standard, the geotechnical designer is responsible for the design of the engineered fill and the preparation of the earthwork’s specification. The certifier is responsible for confirming that the engineered fill has been constructed in accordance with the design, consent conditions, and earthworks specification. In many smaller projects, the geotechnical designer will also take the role of the certifier. The contractor responsible for placing the engineered fill should have a good understanding of this standard. It is expected that they will use this standard to direct any filling operations in conjunction with the earthwork’s specification created by the geotechnical designer in accordance with this standard.","true"
"NZS 4431:2022","Engineered fill construction for lightweight structures","NZS 4431:2022 Current","https://www.standards.govt.nz/shop/NZS-44312022","https://www.standards.govt.nz/product-download/download/501098/0?mediaTypeId=843d09ed-afdb-ec11-bb3c-00224893f31d&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","NZS 4431 provides the process for the geotechnical investigation, design, construction, quality assurance testing, and certification of engineered fill as foundation support for lightweight residential and commercial buildings and associated infrastructure. Evidence of adherence to this standard, alongside appropriate professional review and certification, can be used to demonstrate compliance with the relevant sections of the New Zealand Building Code for these projects. This revision reflects changes in geotechnical investigation, design and construction practice, test methods. And environmental, consenting, and health and safety obligations since the original publication in 1989. The layout of this revision reflects the iterative processes used by the geotechnical designer, certifier, and contractor to enable engineered fill construction to deliver safe and stable foundation support for lightweight residential and commercial buildings and associated infrastructure. NZS4431 is not a specification. An earthworks specification needs to be developed for each development in accordance with the requirements of this standard. The earthworks specification will provide the site and contract-specific requirements in addition to those presented in this standard. To comply with this standard, certified engineered fill construction shall meet the requirements of the project - and site-specific earthworks specification, as well as the design documentation, engineering drawings, quality assurance and testing requirements, and building and consent conditions. The New Zealand earthworks specification (NZGS, 2022) is an example of a generic specification developed to be compatible with this standard. It is appropriate for use on most residential (and many other) development projects with common soil and rock types found in New Zealand and comes in both a long and a short form to suit larger and smaller projects respectively. Because of the variability of the natural materials used in earthworks, specialist geotechnical input is needed to ensure that the specified soil and rock materials are suitable for the intended use and that the proposed testing regime is appropriate for the selected materials. The primary intended users of this standard are the geotechnical designer and the certifier. In the context of this standard, the geotechnical designer is responsible for the design of the engineered fill and the preparation of the earthwork’s specification. The certifier is responsible for confirming that the engineered fill has been constructed in accordance with the design, consent conditions, and earthworks specification. In many smaller projects, the geotechnical designer will also take the role of the certifier. The contractor responsible for placing the engineered fill should have a good understanding of this standard. It is expected that they will use this standard to direct any filling operations in conjunction with the earthwork’s specification created by the geotechnical designer in accordance with this standard.","true"
"NZS 4442:1988","Welded steel pipes and fittings for water, sewage and medium pressure gas","NZS 4442:1988 Current","https://www.standards.govt.nz/shop/NZS-44421988","https://www.standards.govt.nz/product-download/download/447283/0?mediaTypeId=e051214b-a67f-4fb2-8321-46eec0b33d68&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Applies to welded steel pipes and fittings with butt welded seams in sizes of 100 mm to 1000 mm nominal pipe sizes intended primarily for the conveyance of water, sewage, and medium pressure gas. Specifies standard outside diameters and requirements for commonly used fittings. Also specifies external protective coatings and internal linings.","true"
"NZS 4510:2008","Fire hydrant systems for buildings","NZS 4510:2008 Superseded","https://www.standards.govt.nz/shop/NZS-45102008","https://www.standards.govt.nz/product-download/download/447841/0?mediaTypeId=83d48b92-036e-426f-9929-366ac24780c6&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Fire hydrant systems","https://www.standards.govt.nz/product-download/download/499418/0?mediaTypeId=b7bf7edc-2aaa-ec11-9840-0022489314c8&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Sets out the minimum technical and performance requirements for fire hydrant systems installed in buildings.","true"
"NZS 4510:2022","Fire hydrant systems","NZS 4510:2022 Current","https://www.standards.govt.nz/shop/NZS-45102022","https://www.standards.govt.nz/product-download/download/499418/0?mediaTypeId=b7bf7edc-2aaa-ec11-9840-0022489314c8&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This revision of NZS 4510 introduces a number of changes to the 2008 edition. The purpose of this standard is to set out minimum technical and performance requirements for fire hydrant systems. Hydrant systems are primarily for fire brigades to use when they are dealing with fire emergencies in buildings, but hydrant systems can also be found outside buildings for use on exteriors and to cover external fire exposure and risk.","true"
"NZS 4512:2010","Fire detection and alarm systems in buildings","NZS 4512:2010 Superseded","https://www.standards.govt.nz/shop/NZS-45122010","https://www.standards.govt.nz/product-download/download/447880/0?mediaTypeId=0bceca6e-f230-4d36-9e9c-0af66f64c9dc&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Fire detection and alarm systems in buildings","https://www.standards.govt.nz/product-download/download/475061/0?mediaTypeId=1dedf5f7-7cac-eb11-8236-000d3a6b0a61&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Application of this Standard will help prevent loss of life and provide optimum fire protection for New Zealand buildings. The Standard provides up-to-date specifications for the design, manufacture, installation and maintenance of fire detection and alarm systems, whether operated manually or automatically, in the event of fire, enabling a fire warning from a fire alarm system in a building to operate at the earliest practicable moment to facilitate appropriate emergency measures. It covers manual and automatic fire alarm systems, but not single or interconnected smoke alarms for houses. Alarm technicians and installers, fire engineers, and others involved in designing buildings containing alarm systems, and in installing, maintaining, inspecting and certifying those systems, use this standard. Fire alarm systems conforming to this standard can help meet the requirements of the New Zealand Building Code for fire safety and warning systems. They can also help with obtaining approval for evacuation schemes, issued by Fire and Emergency New Zealand.","true"
"NZS 4512:2021","Fire detection and alarm systems in buildings","NZS 4512:2021 Current","https://www.standards.govt.nz/shop/NZS-45122021","https://www.standards.govt.nz/product-download/download/475061/0?mediaTypeId=1dedf5f7-7cac-eb11-8236-000d3a6b0a61&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Standard provides a complete specification for the design, manufacture, installation, documentation, and maintenance of building fire detection and alarm systems. It is intended that this revised and updated standard will continue to be cited by the Acceptable Solutions and Verification Methods for the New Zealand Building Code (NZBC), be used as a baseline for the development of Alternative Solutions, and also to facilitate approval of evacuation procedures and schemes under the Fire and Emergency New Zealand (Fire Safety, Evacuation Procedures, and Evacuation Schemes) Regulations 2018. This standard does not specify what type of alarm system or alerting device is required for a particular building. Instead, based on declared functional requirements determined by the system owner, it provides an integrated set of rules for the correct design, manufacture, installation, commissioning, documentation, and maintenance of the system. This standard is applicable to fire alarm systems in buildings, except for single station or interconnected smoke alarms for houses which are covered in NZS 4514.","true"
"NZS 4514:2009","Interconnected smoke alarms for houses","NZS 4514:2009 Superseded","https://www.standards.govt.nz/shop/NZS-45142009","https://www.standards.govt.nz/product-download/download/447895/0?mediaTypeId=1847ac80-e86b-48e7-8d6b-eacf7cfc2240&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Interconnected smoke alarms for houses","https://www.standards.govt.nz/product-download/download/475064/0?mediaTypeId=1eb14638-84ac-eb11-8236-000d3a6b0a61&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Smoke alarms save lives. They are mandatory in residential tenancies and can be important for obtaining a building consent when building or altering a house or small apartment. This standard includes important information about the placement of smoke alarms, and their ability to be heard. It provides information about installing, commissioning and maintaining externally powered interconnected smoke alarms, a more robust warning system than battery-powered smoke alarms. Acceptable Solution F7/AS1 provides information on using this standard to help demonstrate Building Code compliance, along with Acceptable Solutions C/AS1 and C/AS2.","true"
"NZS 4514:2021","Interconnected smoke alarms for houses","NZS 4514:2021 Current","https://www.standards.govt.nz/shop/NZS-45142021","https://www.standards.govt.nz/product-download/download/475064/0?mediaTypeId=1eb14638-84ac-eb11-8236-000d3a6b0a61&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Standard provides a specification for the selection, installation, commissioning, and maintenance of interconnected smoke alarms in houses (single household units). This edition is a partial technical revision and supersedes NZS 4514:2009. Allowance has been made for long-life batteries and wirelessly interconnected smoke alarms. Changes have been made for ceilings with exposed framing members. Testing requirements have been simplified. The appendices have been edited and updated to provide more clarity and guidance on the selection and location of smoke alarms.","true"
